[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 10, 17, 17, 10, 17, 17, 17, 17]
[10, 10, 10, 10, 10, 10, 10, 10, 12, 10, 10, 10, 10, 12, 10, 10, 10, 10]
[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 12, 10, 13, 12, 10, 10, 10, 10]
[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 12, 13, 10, 12, 10, 10, 10, 10]
[6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 8, 6, 8, 6, 6]
[6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 7, 6, 6, 6, 6, 6]
[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 10, 17, 17, 10, 17, 17, 17, 8]
[10, 10, 10, 10, 10, 14, 10, 10, 10, 10, 12, 10, 10, 12, 10, 10, 10, 10]
[6, 6, 6, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6]
[6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 1, 6, 6, 1, 6, 6, 6, 6]
[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 2, 6, 6, 6, 6, 8]
[6, 8, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 7, 6, 6, 6, 6, 6]
[6, 6, 6, 6, 6, 11, 6, 6, 9, 6, 6, 6, 6, 8, 6, 8, 6, 6]
[10, 10, 10, 10, 10, 10, 10, 10, 12, 10, 10, 10, 10, 12, 13, 10, 10, 10]
[10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 12, 10, 10, 12, 10, 10, 10, 13]
[6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 1, 8, 1, 6, 6]
[10, 10, 10, 10, 10, 16, 10, 15, 10, 10, 12, 10, 10, 12, 10, 10, 10, 10]
[10, 10, 10, 10, 10, 14, 10, 10, 10, 10, 12, 10, 10, 12, 15, 10, 10, 10]
[6, 6, 6, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 6, 8, 6, 6, 6]
[6, 6, 6, 6, 6, 11, 6, 10, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6]
[6, 6, 6, 6, 6, 6, 6, 7, 8, 6, 1, 6, 6, 1, 6, 6, 6, 6]
[10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 7, 6, 8, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6]
[10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 11, 6, 10, 9, 6, 6, 6, 6, 8, 6, 8, 6, 6]
[6, 6, 6, 6, 6, 9, 6, 7, 8, 6, 6, 6, 10, 6, 6, 6, 6, 6]
[6, 6, 6, 6, 6, 6, 6, 10, 12, 6, 6, 6, 6, 6, 0, 6, 6, 6]
[6, 6, 6, 6, 6, 8, 6, 6, 1, 6, 6, 6, 6, 6, 9, 6, 6, 7]
[6, 6, 6, 6, 6, 3, 6, 9, 6, 6, 6, 6, 6, 6, 8, 6, 6, 7]
[10, 10, 10, 10, 10, 10, 10, 14, 11, 10, 12, 10, 10, 12, 10, 10, 10, 13]
[10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 12, 10, 10, 12, 14, 10, 10, 13]
[6, 6, 6, 6, 6, 8, 6, 6, 1, 6, 6, 6, 6, 6, 9, 7, 6, 7]
[10, 10, 10, 10, 10, 16, 10, 15, 10, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 6, 6, 8, 1, 6, 6, 6, 6, 6, 9, 6, 6, 7]
[6, 6, 6, 6, 6, 11, 6, 10, 12, 6, 6, 6, 6, 6, 0, 6, 6, 6]
[10, 10, 10, 10, 10, 10, 10, 15, 16, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 11, 6, 10, 12, 6, 6, 6, 6, 6, 0, 6, 6, 13]
[10, 10, 10, 10, 10, 16, 10, 15, 17, 10, 12, 10, 10, 12, 14, 10, 10, 10]
[6, 6, 6, 6, 6, 11, 6, 10, 12, 6, 6, 6, 9, 6, 0, 6, 6, 13]
[6, 6, 6, 6, 6, 2, 3, 4, 5, 6, 6, 6, 6, 6, 1, 6, 6, 6]
