[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
[6, 6, 7, 6, 6, 7, 6, 16, 4, 1, 18, 9, 2, 1, 12, 14, 5, 13]
[7, 5, 18, 15, 7, 10, 7, 3, 17, 7, 7, 17, 5, 1, 4, 10, 1, 15]
[8, 8, 16, 18, 8, 3, 8, 9, 9, 11, 5, 16, 4, 12, 14, 12, 7, 7]
[6, 6, 3, 14, 6, 7, 2, 11, 17, 3, 4, 6, 18, 10, 6, 10, 1, 15]
[13, 9, 13, 13, 13, 6, 8, 0, 9, 14, 15, 12, 8, 6, 5, 4, 4, 8]
[0, 2, 13, 0, 0, 6, 1, 16, 5, 1, 2, 17, 1, 12, 3, 4, 0, 4]
[1, 6, 18, 2, 1, 11, 1, 0, 16, 6, 12, 6, 7, 6, 13, 5, 5, 11]
[2, 6, 18, 14, 2, 16, 13, 1, 12, 13, 5, 13, 17, 2, 7, 9, 2, 2]
[10, 11, 16, 10, 10, 17, 14, 5, 16, 8, 11, 11, 10, 16, 12, 7, 18, 0]
[8, 8, 8, 0, 8, 4, 2, 7, 15, 1, 14, 3, 0, 7, 10, 4, 16, 9]
[10, 3, 6, 10, 10, 14, 2, 9, 8, 17, 0, 6, 7, 3, 5, 12, 12, 1]
[14, 2, 11, 14, 14, 18, 12, 17, 7, 2, 5, 6, 2, 12, 13, 11, 6, 7]
[1, 17, 1, 13, 1, 8, 18, 5, 11, 13, 16, 15, 9, 16, 18, 1, 5, 0]
[17, 2, 2, 7, 17, 5, 13, 0, 15, 2, 16, 18, 14, 2, 3, 17, 17, 10]
[15, 4, 1, 7, 15, 11, 18, 8, 10, 7, 5, 5, 8, 7, 0, 7, 5, 15]
[5, 14, 15, 10, 5, 3, 2, 9, 17, 17, 12, 6, 14, 15, 4, 14, 15, 5]
[9, 17, 4, 4, 4, 16, 18, 13, 0, 11, 10, 5, 9, 9, 5, 4, 4, 10]
[3, 7, 6, 7, 3, 11, 4, 16, 6, 5, 2, 6, 9, 7, 15, 3, 5, 5]
[2, 18, 18, 18, 18, 14, 15, 10, 4, 7, 2, 12, 6, 8, 13, 8, 15, 1]
[18, 5, 14, 12, 11, 17, 2, 4, 15, 11, 11, 14, 6, 14, 0, 1, 11, 11]
[13, 18, 10, 18, 18, 17, 3, 8, 11, 15, 14, 18, 12, 8, 5, 10, 10, 14]
[7, 14, 17, 14, 14, 11, 17, 15, 8, 5, 5, 5, 8, 17, 0, 1, 5, 7]
[1, 4, 12, 18, 4, 9, 12, 14, 1, 10, 11, 7, 18, 11, 16, 1, 4, 5]
[8, 8, 12, 12, 9, 11, 17, 2, 0, 9, 1, 12, 3, 9, 5, 15, 1, 9]
[10, 3, 6, 9, 4, 16, 7, 0, 4, 10, 1, 4, 15, 1, 11, 10, 6, 3]
[4, 1, 7, 11, 11, 5, 9, 14, 3, 1, 4, 7, 8, 7, 10, 4, 4, 16]
[14, 4, 6, 7, 7, 15, 13, 11, 10, 4, 17, 12, 10, 17, 18, 11, 6, 6]
[9, 11, 9, 15, 0, 10, 1, 14, 9, 0, 11, 15, 9, 15, 17, 17, 15, 0]
[11, 2, 9, 2, 9, 6, 0, 8, 7, 3, 1, 0, 15, 1, 10, 11, 2, 15]
